n0015_m02_p090__000.inst -> Ticks: 100629.63 | Time: 59.921 | BnB nodes: 9990 | Status: Feasible
n0015_m02_p090__001.inst -> Ticks: 94061.53 | Time: 59.953 | BnB nodes: 11401 | Status: Feasible
n0015_m02_p090__002.inst -> Ticks: 94586.12 | Time: 59.859 | BnB nodes: 16270 | Status: Feasible
n0015_m02_p090__003.inst -> Ticks: 95948.76 | Time: 59.859 | BnB nodes: 16477 | Status: Feasible
n0015_m02_p090__004.inst -> Ticks: 93029.18 | Time: 59.843 | BnB nodes: 20223 | Status: Feasible
n0015_m03_p025__000.inst -> Ticks: 47387.09 | Time: 31.687 | BnB nodes: 5177
n0015_m03_p025__001.inst -> Ticks: 89093.6 | Time: 59.734 | BnB nodes: 14218 | Status: Feasible
n0015_m03_p025__002.inst -> Ticks: 67310.24 | Time: 45.39 | BnB nodes: 5998
n0015_m03_p025__003.inst -> Ticks: 27756.23 | Time: 18.921 | BnB nodes: 4300
n0015_m03_p025__004.inst -> Ticks: 95307.26 | Time: 59.812 | BnB nodes: 9817 | Status: Feasible
n0015_m03_p050__000.inst -> Ticks: 92679.21 | Time: 59.953 | BnB nodes: 12121 | Status: Feasible
n0015_m03_p050__001.inst -> Ticks: 92527.29 | Time: 59.765 | BnB nodes: 10082 | Status: Feasible
n0015_m03_p050__002.inst -> Ticks: 96710.64 | Time: 59.906 | BnB nodes: 11857 | Status: Feasible
n0015_m03_p050__003.inst -> Ticks: 89606.29 | Time: 59.781 | BnB nodes: 7050 | Status: Feasible
n0015_m03_p050__004.inst -> Ticks: 96650.94 | Time: 59.796 | BnB nodes: 8229 | Status: Feasible
n0015_m03_p075__000.inst -> Ticks: 91501.52 | Time: 59.89 | BnB nodes: 12925 | Status: Feasible
n0015_m03_p075__001.inst -> Ticks: 93544.66 | Time: 59.843 | BnB nodes: 6155 | Status: Feasible
n0015_m03_p075__002.inst -> Ticks: 99526.68 | Time: 59.828 | BnB nodes: 14458 | Status: Feasible
n0015_m03_p075__003.inst -> Ticks: 88387.4 | Time: 59.796 | BnB nodes: 6511 | Status: Feasible
n0015_m03_p075__004.inst -> Ticks: 94510.19 | Time: 60 | BnB nodes: 8890 | Status: Feasible
n0015_m03_p090__000.inst -> Ticks: 91273.4 | Time: 59.843 | BnB nodes: 7399 | Status: Feasible
n0015_m03_p090__001.inst -> Ticks: 94324.84 | Time: 59.796 | BnB nodes: 9181 | Status: Feasible
n0015_m03_p090__002.inst -> Ticks: 91664.26 | Time: 59.875 | BnB nodes: 8042 | Status: Feasible
n0015_m03_p090__003.inst -> Ticks: 101015.46 | Time: 59.781 | BnB nodes: 7331 | Status: Feasible
n0015_m03_p090__004.inst -> Ticks: 99609.08 | Time: 59.875 | BnB nodes: 8387 | Status: Feasible
n0015_m04_p025__000.inst -> Ticks: 87933.0 | Time: 59.734 | BnB nodes: 6734 | Status: Feasible
n0015_m04_p025__001.inst -> Ticks: 87263.32 | Time: 59.813 | BnB nodes: 5088 | Status: Feasible
n0015_m04_p025__002.inst -> Ticks: 92050.84 | Time: 59.75 | BnB nodes: 7936 | Status: Feasible
n0015_m04_p025__003.inst -> Ticks: 90742.38 | Time: 59.843 | BnB nodes: 7653 | Status: Feasible
n0015_m04_p025__004.inst -> Ticks: 784.6 | Time: 0.641 | BnB nodes: 10
n0015_m04_p050__000.inst -> Ticks: 94429.16 | Time: 59.703 | BnB nodes: 6527 | Status: Feasible
n0015_m04_p050__001.inst -> Ticks: 87100.68 | Time: 59.703 | BnB nodes: 5222 | Status: Feasible
n0015_m04_p050__002.inst -> Ticks: 91951.06 | Time: 59.797 | BnB nodes: 10096 | Status: Feasible
n0015_m04_p050__003.inst -> Ticks: 89879.08 | Time: 59.843 | BnB nodes: 5931 | Status: Feasible
n0015_m04_p050__004.inst -> Ticks: 93204.53 | Time: 59.984 | BnB nodes: 6833 | Status: Feasible
n0015_m04_p075__000.inst -> Ticks: 88989.24 | Time: 59.796 | BnB nodes: 4154 | Status: Feasible
n0015_m04_p075__001.inst -> Ticks: 94820.08 | Time: 59.89 | BnB nodes: 4508 | Status: Feasible
n0015_m04_p075__002.inst -> Ticks: 94927.28 | Time: 59.781 | BnB nodes: 3051 | Status: Feasible
n0015_m04_p075__003.inst -> Ticks: 88497.97 | Time: 59.828 | BnB nodes: 3277 | Status: Feasible
n0015_m04_p075__004.inst -> Ticks: 87789.99 | Time: 59.796 | BnB nodes: 3320 | Status: Feasible
n0015_m04_p090__000.inst -> Ticks: 96680.32 | Time: 59.953 | BnB nodes: 2883 | Status: Feasible
n0015_m04_p090__001.inst -> Ticks: 89644.44 | Time: 59.89 | BnB nodes: 1465 | Status: Feasible
n0015_m04_p090__002.inst -> Ticks: 94372.7 | Time: 59.844 | BnB nodes: 3329 | Status: Feasible
n0015_m04_p090__003.inst -> Ticks: 90534.84 | Time: 59.687 | BnB nodes: 5422 | Status: Feasible
