n0045_m02__002.inst -> Ticks: 442401.07 | Time: 292.64 | BnB nodes: 155605
n0045_m02__003.inst -> Ticks: 3551.12 | Time: 2.5 | BnB nodes: 1593
n0045_m02__004.inst -> Ticks: 14533.1 | Time: 9.39 | BnB nodes: 3941
n0045_m03__000.inst -> Ticks: 303213.22 | Time: 194.546 | BnB nodes: 39104
n0045_m03__001.inst -> Ticks: 95276.08 | Time: 66.781 | BnB nodes: 15037
n0045_m03__002.inst -> Ticks: 462524.19 | Time: 301.921 | BnB nodes: 99797
n0045_m03__003.inst -> Ticks: 268866.67 | Time: 167.734 | BnB nodes: 28261
n0045_m03__004.inst -> Ticks: 226511.36 | Time: 145.812 | BnB nodes: 27096
n0045_m04__000.inst -> Ticks: 534109.89 | Time: 349.672 | BnB nodes: 68011
n0045_m04__001.inst -> Ticks: 256119.02 | Time: 158.218 | BnB nodes: 63247
n0045_m04__002.inst -> Ticks: 201123.81 | Time: 128.406 | BnB nodes: 24219
n0045_m04__003.inst -> Ticks: 328892.08 | Time: 208.781 | BnB nodes: 37066
n0045_m04__004.inst -> Ticks: 345198.67 | Time: 223.281 | BnB nodes: 31518
n0045_m05__000.inst -> Ticks: 200096.78 | Time: 133.046 | BnB nodes: 17759
n0045_m05__001.inst -> Ticks: 516432.32 | Time: 339.843 | BnB nodes: 39924
n0045_m05__002.inst -> Ticks: 132485.93 | Time: 86.14 | BnB nodes: 25960
n0045_m05__003.inst -> Ticks: 124724.24 | Time: 81.812 | BnB nodes: 16512
n0045_m05__004.inst -> Ticks: 936312.96 | Time: 617.344 | BnB nodes: 109590
n0050_m01__000.inst -> Ticks: 3442.16 | Time: 2.578 | BnB nodes: 1472
n0050_m01__001.inst -> Ticks: 4197.05 | Time: 3.125 | BnB nodes: 2513
n0050_m01__002.inst -> Ticks: 6761.71 | Time: 4.765 | BnB nodes: 3735
n0050_m01__003.inst -> Ticks: 1607.32 | Time: 1.234 | BnB nodes: 1212
n0050_m01__004.inst -> Ticks: 2345.51 | Time: 1.656 | BnB nodes: 1490
n0050_m02__000.inst -> Ticks: 269340.95 | Time: 176.671 | BnB nodes: 96306
n0050_m02__001.inst -> Ticks: 63644.56 | Time: 42.843 | BnB nodes: 16731
n0050_m02__002.inst -> Ticks: 107089.06 | Time: 70.578 | BnB nodes: 18244
n0050_m02__003.inst -> Ticks: 4486.07 | Time: 3.109 | BnB nodes: 1327
n0050_m02__004.inst -> Ticks: 19764.2 | Time: 12 | BnB nodes: 8006
n0050_m03__000.inst -> Ticks: 12515648.74 | Time: 8077.52 | BnB nodes: 711544
n0050_m03__001.inst -> Ticks: 580796.54 | Time: 366.812 | BnB nodes: 97452
n0050_m03__002.inst -> Ticks: 304379.13 | Time: 186.328 | BnB nodes: 37449
n0050_m03__003.inst -> Ticks: 1070110.47 | Time: 669.093 | BnB nodes: 135672
n0050_m03__004.inst -> Ticks: 2890518.54 | Time: 1831.05 | BnB nodes: 526722
n0050_m04__000.inst -> Ticks: 783523.48 | Time: 471.406 | BnB nodes: 48982
n0050_m04__001.inst -> Ticks: 259261.49 | Time: 167.843 | BnB nodes: 27246
n0050_m04__002.inst -> Ticks: 515377.67 | Time: 325.953 | BnB nodes: 53612
n0050_m04__003.inst -> Ticks: 530991.63 | Time: 336.5 | BnB nodes: 122847
n0050_m04__004.inst -> Ticks: 630748.14 | Time: 395.953 | BnB nodes: 45608
n0050_m05__000.inst -> Ticks: 504785.97 | Time: 323.296 | BnB nodes: 70986
n0050_m05__001.inst -> Ticks: 1559601.92 | Time: 1036.03 | BnB nodes: 114838
n0050_m05__002.inst -> Ticks: 2967083.91 | Time: 1908.23 | BnB nodes: 218931
n0050_m05__003.inst -> Ticks: 77551.66 | Time: 50 | BnB nodes: 10866
n0050_m05__004.inst -> Ticks: 887972.99 | Time: 562.609 | BnB nodes: 54279
